diag_dom,iter_cg,iter_pcg,kappa,t
-86.52000273582817,91.0,91.0,27596.924583442462,0.1
-54.37635890495434,82.0,81.0,3101.864418045202,0.5
-32.54363993744429,76.0,75.0,884.6430998040661,1.0
-13.979147265236055,64.0,64.0,199.21016627863696,2.0
-7.193992747102058,53.0,53.0,77.61727095537923,3.0
-2.758189480655643,40.0,40.0,24.687310824214933,5.0
-1.3747312564045822,32.0,32.0,13.254831516705782,7.0
-0.5292540916142912,25.0,25.0,7.706413167687605,10.0
0.06707945391569026,19.0,19.0,4.461023964452483,15.0
0.35807551148258043,16.0,16.0,3.198130740422233,20.0
