CG,Direct,PCG,iter_cg,iter_pcg,kappa,n,speedup_cg,speedup_pcg,t
6.9795e-5,4.8923e-5,6.3566e-5,58.0,58.0,15761.41153939664,50.0,0.7009527903144924,0.769641003051946,0.1
5.2458e-5,3.0976e-5,6.7947e-5,52.0,54.0,1821.0367284502258,50.0,0.590491440771665,0.4558847336894933,0.5
5.3582e-5,2.8715e-5,6.2002e-5,49.0,49.0,538.9778330208925,50.0,0.5359075809040349,0.4631302216057547,1.0
5.7512e-5,3.4195e-5,4.215e-5,39.0,39.0,131.72078354274166,50.0,0.5945715676728335,0.8112692763938315,2.0
5.045e-5,5.0708e-5,5.5119e-5,32.0,32.0,55.62063484892507,50.0,1.0051139742319128,0.9199731490048805,3.0
5.2342e-5,4.4263e-5,4.0461e-5,25.0,25.0,20.24646187224644,50.0,0.8456497650070689,1.0939670299794864,5.0
4.3583e-5,3.1376e-5,4.0812e-5,20.0,20.0,11.346187421681321,50.0,0.7199137278296583,0.7687934921101637,7.0
4.3818e-5,3.471e-5,3.9315e-5,17.0,17.0,7.225916212113074,50.0,0.7921402163494454,0.8828691339183518,10.0
3.6019e-5,3.318e-5,4.2059e-5,13.0,13.0,4.8106961835034365,50.0,0.9211804880757377,0.7888917948596019,15.0
4.4191e-5,4.5098e-5,2.8585e-5,11.0,11.0,3.646887990943854,50.0,1.0205245411961712,1.5776806017141858,20.0
0.00068403,0.000447932,0.000389332,97.0,95.0,47675.28321101393,100.0,0.6548426238615266,1.1505142140897744,0.1
0.000271778,0.000444849,0.000294127,89.0,88.0,5479.709916403698,100.0,1.6368101906703263,1.5124385044555584,0.5
0.000338009,0.000866924,0.000321237,82.0,80.0,1591.793010147114,100.0,2.564795611951161,2.698705317257975,1.0
0.000237475,0.000574176,0.000319506,67.0,66.0,364.98356270269306,100.0,2.417837667122855,1.7970742333477305,2.0
0.000307609,0.000823217,0.000191491,55.0,56.0,143.16184119224812,100.0,2.676179825687805,4.29898533090328,3.0
0.000133221,0.000376528,0.000139497,41.0,41.0,45.441822759609025,100.0,2.826341192454643,2.699183494985555,5.0
0.000104952,0.000397486,0.000114032,33.0,33.0,24.0887661848042,100.0,3.787312295144447,3.485740844675179,7.0
0.000132672,0.000912937,0.000170796,26.0,26.0,13.871256628562854,100.0,6.881158043897733,5.345189582894212,10.0
6.325e-5,0.000394124,7.2517e-5,19.0,19.0,7.8820349329784,100.0,6.231209486166007,5.434918708716577,15.0
6.0703e-5,0.000650688,6.1818e-5,16.0,16.0,5.537735814961337,100.0,10.719206628996918,10.525866252547802,20.0
0.000954704,0.000858714,0.001095348,139.0,140.0,123286.60504902848,150.0,0.899455747540599,0.783964548253158,0.1
0.000865742,0.000795763,0.000985701,138.0,135.0,13615.103788769868,150.0,0.9191687592839437,0.8073066781914596,0.5
0.001423927,0.000647089,0.000816132,120.0,119.0,3832.6748818032597,150.0,0.45443972900296153,0.7928729666279474,1.0
0.000619596,0.000844327,0.000737979,95.0,95.0,849.1029412093258,150.0,1.3627056985519594,1.1441070816378243,2.0
0.000506304,0.000832421,0.000598118,78.0,78.0,325.65253350000336,150.0,1.644113023005941,1.391733738158691,3.0
0.000532232,0.000720922,0.000778118,57.0,57.0,98.96513099111179,150.0,1.354525845871725,0.9264944391467619,5.0
0.00051068,0.001167968,0.000301965,44.0,44.0,49.32701087181782,150.0,2.287083888149134,3.867891974235424,7.0
0.000221764,0.000715912,0.000225394,34.0,34.0,26.902232688447857,150.0,3.228260673508775,3.1762691109789967,10.0
0.000171007,0.000638807,0.000208196,26.0,26.0,15.458370176957642,150.0,3.7355605326097763,3.0682962208687967,15.0
0.000179377,0.000880911,0.000192516,22.0,22.0,10.691897114953784,150.0,4.9109473343851215,4.575780714330238,20.0
0.001783628,0.001126955,0.002432162,163.0,164.0,239566.56802060755,200.0,0.631832983110828,0.4633552370277967,0.1
0.001881537,0.002030577,0.001969399,141.0,143.0,26599.858666732936,200.0,1.0792118358554734,1.0310642993116172,0.5
0.002094267,0.001172879,0.002034351,130.0,129.0,7508.010275273457,200.0,0.5600427261662434,0.5765371855692552,1.0
0.001684433,0.001018577,0.001129732,105.0,104.0,1644.71689161982,200.0,0.6047002166307593,0.9016094082490359,2.0
0.001005844,0.00110361,0.001173207,84.0,84.0,614.5176627585087,200.0,1.0971979750339018,0.940677987771979,3.0
0.000726871,0.001078318,0.000886791,62.0,62.0,173.95399165571644,200.0,1.4835067020145252,1.2159776091548065,5.0
0.000610375,0.001474395,0.000593146,48.0,48.0,85.6608240873835,200.0,2.4155560106491913,2.4857202105383838,7.0
0.000549768,0.000945224,0.000502153,37.0,37.0,48.51576941364814,200.0,1.7193143289533042,1.8823426326239217,10.0
0.000534758,0.001215217,0.000338679,27.0,27.0,26.488974978561433,200.0,2.2724615620523676,3.5881085039225935,15.0
0.000342597,0.001168897,0.000245001,22.0,22.0,17.37587935232185,200.0,3.411871674299541,4.770988689842082,20.0
0.006316628,0.002808496,0.007536574,205.0,214.0,377441.3960556742,300.0,0.444619502684027,0.37264889855788585,0.1
0.006415461,0.002531738,0.006127745,197.0,195.0,41516.76784501204,300.0,0.3946307210035257,0.4131598165393631,0.5
0.005297094,0.002119406,0.004305203,185.0,182.0,11643.404927440884,300.0,0.4001073041180693,0.49228944604935004,1.0
0.003976174,0.002300057,0.003764262,149.0,149.0,2551.8206209145765,300.0,0.5784598460731346,0.6110246842541778,2.0
0.003746589,0.002414143,0.00300048,120.0,120.0,959.437991599482,300.0,0.6443575743162648,0.8045855996373914,3.0
0.002212159,0.001801432,0.002721132,84.0,84.0,271.16537805139376,300.0,0.8143320620262829,0.6620156611292654,5.0
0.001710255,0.002239152,0.002303488,66.0,66.0,122.58070183249487,300.0,1.3092503749440874,0.9720701822627251,7.0
0.001468919,0.001720613,0.001307896,50.0,50.0,59.39828852858562,300.0,1.1713464118852026,1.3155579648534745,10.0
0.000892727,0.002703984,0.001541966,37.0,36.0,30.557348201230536,300.0,3.0289035729847984,1.7535950857541605,15.0
0.00125082,0.003264462,0.001152682,29.0,29.0,20.046490683848653,300.0,2.609857533458052,2.8320577574734407,20.0
