alpha,GE_ER,GE_BA
0.0,0.0,0.0
0.034482758620689655,0.0107367492137567,0.006989204931264628
0.06896551724137931,0.0214734984275134,0.013978409862529255
0.10344827586206896,0.03221024764127013,0.020967614793793905
0.13793103448275862,0.04294699685502688,0.027956819725058556
0.1724137931034483,0.05368374606878382,0.03494602465632334
0.20689655172413793,0.06442049528254054,0.04193522958758799
0.24137931034482757,0.07515724449629722,0.048924434518852596
0.27586206896551724,0.08589399371005395,0.05591363945011725
0.3103448275862069,0.09663074292381069,0.06290284438138191
0.3448275862068966,0.10736749213756744,0.06989204931264655
0.3793103448275862,0.11810424135132412,0.0768812542439112
0.41379310344827586,0.12884099056508083,0.08387045917517583
0.4482758620689655,0.1395777397788377,0.09085966410644057
0.48275862068965514,0.15031448899259447,0.09784886903770522
0.5172413793103449,0.16105123820635117,0.10483807396896988
0.5517241379310345,0.1717879874201079,0.1118272789002345
0.5862068965517241,0.18252473663386462,0.11881648383149912
0.6206896551724138,0.19326148584762137,0.12580568876276382
0.6551724137931034,0.2039982350613781,0.1327948936940285
0.6896551724137931,0.21473498427513496,0.13978409862529315
0.7241379310344828,0.2254717334888916,0.1467733035565578
0.7586206896551724,0.23620848270264835,0.15376250848782244
0.7931034482758621,0.2469452319164051,0.16075171341908712
0.8275862068965517,0.2576819811301618,0.16774091835035174
0.8620689655172413,0.2684187303439186,0.17473012328161638
0.896551724137931,0.2791554795576753,0.18171932821288106
0.9310344827586207,0.2898922287714321,0.18870853314414568
0.9655172413793103,0.3006289779851889,0.19569773807541038
1.0,0.3113657271989456,0.20268694300667506
