dataset_idx,classifier,magn_scale,accuracy,fit_time,predict_time,total_time,T,n_samples,noise_level
0,WeightCDF,0.01,0.8,0.028077125549316406,0.003870248794555664,0.03194737434387207,40,50,0.1
0,WeightABS,0.01,0.8,0.022527456283569336,0.0034389495849609375,0.025966405868530273,40,50,0.1
0,WeightCDF,0.05,0.8,0.029091596603393555,0.003764629364013672,0.03285622596740723,40,50,0.1
0,WeightABS,0.05,0.8,0.029280900955200195,0.0039331912994384766,0.03321409225463867,40,50,0.1
0,WeightCDF,0.1,0.8,0.03027057647705078,0.00403904914855957,0.03430962562561035,40,50,0.1
0,WeightABS,0.1,0.8,0.030298471450805664,0.00390625,0.034204721450805664,40,50,0.1
0,WeightCDF,0.5,0.8,0.027477264404296875,0.003265857696533203,0.030743122100830078,40,50,0.1
0,WeightABS,0.5,0.8,0.02885890007019043,0.004203081130981445,0.033061981201171875,40,50,0.1
0,WeightCDF,1.0,0.8,0.028905868530273438,0.0040590763092041016,0.03296494483947754,40,50,0.1
0,WeightABS,1.0,0.8,0.02928948402404785,0.0034127235412597656,0.03270220756530762,40,50,0.1
0,WeightCDF,2.0,0.8,0.031095504760742188,0.004475831985473633,0.03557133674621582,40,50,0.1
0,WeightABS,2.0,0.8,0.029648303985595703,0.003812074661254883,0.033460378646850586,40,50,0.1
0,WeightCDF,5.0,0.9333333333333333,0.037157297134399414,0.004329681396484375,0.04148697853088379,40,50,0.1
0,WeightABS,5.0,0.8666666666666667,0.03574562072753906,0.00401759147644043,0.03976321220397949,40,50,0.1
0,WeightCDF,10.0,1.0,0.0317835807800293,0.0035915374755859375,0.035375118255615234,40,50,0.1
0,WeightABS,10.0,0.9333333333333333,0.029998302459716797,0.0034949779510498047,0.0334932804107666,40,50,0.1
1,WeightCDF,0.01,0.7333333333333333,0.04282402992248535,0.006653547286987305,0.049477577209472656,40,50,0.15000000000000002
1,WeightABS,0.01,0.9333333333333333,0.045072317123413086,0.006453514099121094,0.05152583122253418,40,50,0.15000000000000002
1,WeightCDF,0.05,0.7333333333333333,0.03170919418334961,0.004258394241333008,0.03596758842468262,40,50,0.15000000000000002
1,WeightABS,0.05,0.9333333333333333,0.04146432876586914,0.0033233165740966797,0.04478764533996582,40,50,0.15000000000000002
1,WeightCDF,0.1,0.7333333333333333,0.031587839126586914,0.004708528518676758,0.03629636764526367,40,50,0.15000000000000002
1,WeightABS,0.1,0.9333333333333333,0.03147435188293457,0.0040302276611328125,0.03550457954406738,40,50,0.15000000000000002
1,WeightCDF,0.5,0.7333333333333333,0.02952861785888672,0.004381418228149414,0.03391003608703613,40,50,0.15000000000000002
1,WeightABS,0.5,0.9333333333333333,0.0377650260925293,0.003484010696411133,0.04124903678894043,40,50,0.15000000000000002
1,WeightCDF,1.0,0.7333333333333333,0.033716440200805664,0.004056215286254883,0.03777265548706055,40,50,0.15000000000000002
1,WeightABS,1.0,0.9333333333333333,0.030746936798095703,0.006442546844482422,0.037189483642578125,40,50,0.15000000000000002
1,WeightCDF,2.0,0.7333333333333333,0.03532052040100098,0.004202365875244141,0.03952288627624512,40,50,0.15000000000000002
1,WeightABS,2.0,0.9333333333333333,0.0350494384765625,0.004072427749633789,0.03912186622619629,40,50,0.15000000000000002
1,WeightCDF,5.0,0.7333333333333333,0.03125572204589844,0.003827810287475586,0.03508353233337402,40,50,0.15000000000000002
1,WeightABS,5.0,0.8666666666666667,0.029368877410888672,0.00409698486328125,0.03346586227416992,40,50,0.15000000000000002
1,WeightCDF,10.0,0.7333333333333333,0.03029799461364746,0.0041637420654296875,0.03446173667907715,40,50,0.15000000000000002
1,WeightABS,10.0,0.8666666666666667,0.029114723205566406,0.004063129425048828,0.033177852630615234,40,50,0.15000000000000002
2,WeightCDF,0.01,0.7333333333333333,0.028004169464111328,0.003958225250244141,0.03196239471435547,40,50,0.2
2,WeightABS,0.01,0.7333333333333333,0.028423309326171875,0.003253459930419922,0.0316767692565918,40,50,0.2
2,WeightCDF,0.05,0.7333333333333333,0.0365750789642334,0.0065860748291015625,0.04316115379333496,40,50,0.2
2,WeightABS,0.05,0.7333333333333333,0.038626670837402344,0.003591775894165039,0.04221844673156738,40,50,0.2
2,WeightCDF,0.1,0.7333333333333333,0.038690805435180664,0.004653215408325195,0.04334402084350586,40,50,0.2
2,WeightABS,0.1,0.7333333333333333,0.026157855987548828,0.0040318965911865234,0.03018975257873535,40,50,0.2
2,WeightCDF,0.5,0.7333333333333333,0.02871108055114746,0.003733396530151367,0.03244447708129883,40,50,0.2
2,WeightABS,0.5,0.7333333333333333,0.03310871124267578,0.004090547561645508,0.03719925880432129,40,50,0.2
2,WeightCDF,1.0,0.7333333333333333,0.03673291206359863,0.0039730072021484375,0.04070591926574707,40,50,0.2
2,WeightABS,1.0,0.7333333333333333,0.028947830200195312,0.0034580230712890625,0.032405853271484375,40,50,0.2
2,WeightCDF,2.0,0.7333333333333333,0.03732705116271973,0.0038673877716064453,0.04119443893432617,40,50,0.2
2,WeightABS,2.0,0.7333333333333333,0.0428922176361084,0.0049173831939697266,0.047809600830078125,40,50,0.2
2,WeightCDF,5.0,0.7333333333333333,0.030691862106323242,0.006362199783325195,0.03705406188964844,40,50,0.2
2,WeightABS,5.0,0.7333333333333333,0.027849674224853516,0.004039287567138672,0.03188896179199219,40,50,0.2
2,WeightCDF,10.0,0.8,0.028527259826660156,0.003754138946533203,0.03228139877319336,40,50,0.2
2,WeightABS,10.0,0.6666666666666666,0.029893875122070312,0.0034046173095703125,0.033298492431640625,40,50,0.2
